Week,Year,Store,CakeType,Delivered,DeliveryAmount,WeekIndex
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,160.0,18032.0,4
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,48.0,5409.6,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,4
21 - 27 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,32.0,3827.2,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8,4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,32.0,3606.4,4
21 - 27 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CARROT,8.0,956.8,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,20.0,2254.0,4
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,CHOCOLATE,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,COFFEE,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,DARKM,5.0,600.0,4
21 - 27 APR 2025,2025,PLAZA SPAR,VANILLA,2.0,240.0,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,36.0,4057.2,4
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8,4
21 - 27 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,4
21 - 27 APR 2025,2025,SAVEWAYS,CHOCOLATE,28.0,3155.6,4
21 - 27 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0,4
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,4
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CARROT,34.0,3400.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,CHOCOLATE,80.0,8000.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,COFFEE,37.0,3700.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,DARKM,70.0,7000.0,5
28 APR - 4 MAY 2025,2025,BARBERTON PNP,VANILLA,42.0,4200.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001,5
28 APR - 4 MAY 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,CHOCOLATE,20.0,2254.0,5
28 APR - 4 MAY 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,CARROT,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,CHOCOLATE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,COFFEE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,DARKM,5.0,600.0,5
28 APR - 4 MAY 2025,2025,GROVE SPAR,VANILLA,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CARROT,72.0,8611.199999999999,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,244.0,27498.8,5
28 APR - 4 MAY 2025,2025,HAZYVIEW CHECKERS,VANILLA,74.0,8339.800000000001,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0,5
